"Time","Ambient temperature","Log Burner Flow","Gas Boiler Flow","Solar Coil temperature","Central Heating Flow",
"2017-11-08-00-00-01","12.25","49.875","44.562","38.0","24.187",
"2017-11-08-00-01-55","12.25","49.937","44.625","38.062","24.062",
"2017-11-08-00-03-43","12.312","50.0","44.625","38.125","24.0",
"2017-11-08-00-05-31","12.25","50.125","44.687","38.187","23.75",
"2017-11-08-00-07-20","12.25","50.25","44.75","38.312","23.625",
"2017-11-08-00-09-12","12.25","50.437","44.75","38.375","23.5",
"2017-11-08-00-11-04","12.25","50.5","44.812","38.437","23.375",
"2017-11-08-00-12-57","12.25","50.625","44.812","38.5","23.25",
"2017-11-08-00-14-47","12.25","50.687","44.875","38.625","23.125",
"2017-11-08-00-16-36","12.25","50.75","44.937","38.687","23.0",
"2017-11-08-00-18-32","12.187","50.75","45.0","38.75","22.875",
"2017-11-08-00-20-23","12.187","50.75","45.062","38.812","22.75",
"2017-11-08-00-22-12","12.25","50.75","45.125","38.937","22.687",
"2017-11-08-00-23-58","12.25","50.812","45.187","39.0","22.562",
"2017-11-08-00-25-49","12.187","50.75","45.312","39.062","22.437",
"2017-11-08-00-27-39","12.25","50.75","45.375","39.125","22.375",
"2017-11-08-00-29-32","12.25","50.625","45.375","39.25","22.25",
"2017-11-08-00-31-22","12.25","50.562","45.437","39.312","22.187",
"2017-11-08-00-33-09","12.25","50.437","45.5","39.437","22.062",
"2017-11-08-00-34-56","12.25","50.375","45.562","39.5","21.937",
"2017-11-08-00-36-45","12.25","50.25","45.625","39.562","21.875",
"2017-11-08-00-38-35","12.187","50.187","45.687","39.687","21.75",
"2017-11-08-00-40-28","12.187","50.062","45.75","39.75","21.625",
"2017-11-08-00-42-18","12.25","50.0","45.812","39.875","21.562",
"2017-11-08-00-44-09","12.25","50.0","45.812","39.937","21.437",
"2017-11-08-00-45-58","12.25","49.937","45.875","40.0","21.375",
"2017-11-08-00-47-46","12.25","49.812","45.937","40.125","21.312",
"2017-11-08-00-49-32","12.25","49.75","46.0","40.187","21.25",
"2017-11-08-00-51-27","12.25","49.687","46.062","40.25","21.125",
"2017-11-08-00-53-16","12.187","49.625","46.125","40.375","21.062",
"2017-11-08-00-55-07","12.187","49.5","46.125","40.437","21.0",
"2017-11-08-00-56-57","12.187","49.375","46.187","40.5","20.937",
"2017-11-08-00-58-51","12.187","49.25","46.187","40.625","20.875",
"2017-11-08-01-00-40","12.187","49.187","46.25","40.687","20.75",
"2017-11-08-01-02-37","12.187","49.062","46.25","40.75","20.687",
"2017-11-08-01-04-27","12.187","48.937","46.312","40.812","20.625",
"2017-11-08-01-06-18","12.187","48.875","46.375","40.937","20.562",
"2017-11-08-01-08-08","12.125","48.812","46.437","41.0","20.5",
"2017-11-08-01-09-57","12.125","48.75","46.5","41.062","20.437",
"2017-11-08-01-11-47","12.125","48.75","46.562","41.125","20.375",
"2017-11-08-01-13-39","12.125","48.75","46.562","41.187","20.312",
"2017-11-08-01-15-27","12.062","48.75","46.562","41.312","20.25",
"2017-11-08-01-17-16","12.125","48.75","46.625","41.375","20.187",
"2017-11-08-01-19-08","12.062","48.75","46.687","41.437","20.187",
"2017-11-08-01-20-57","12.062","48.75","46.687","41.5","20.125",
"2017-11-08-01-22-49","12.062","48.75","46.687","41.562","20.062",
"2017-11-08-01-24-44","12.062","48.75","46.625","41.625","20.062",
"2017-11-08-01-26-34","12.125","48.687","46.625","41.687","20.0",
"2017-11-08-01-28-25","12.062","48.75","46.625","41.75","19.937",
"2017-11-08-01-30-17","12.062","48.75","46.625","41.812","19.937",
"2017-11-08-01-32-07","12.062","48.75","46.625","41.875","19.875",
"2017-11-08-01-33-58","12.0","48.687","46.625","41.937","19.875",
"2017-11-08-01-35-45","12.062","48.687","46.562","42.0","19.812",
"2017-11-08-01-37-38","12.062","48.687","46.562","42.062","19.812",
"2017-11-08-01-39-31","12.062","48.625","46.562","42.125","19.75",
"2017-11-08-01-41-24","12.0","48.562","46.562","42.187","19.75",
"2017-11-08-01-43-16","12.0","48.5","46.562","42.25","19.687",
"2017-11-08-01-45-04","12.0","48.437","46.562","42.312","19.687",
"2017-11-08-01-46-56","11.937","48.375","46.5","42.375","19.625",
"2017-11-08-01-48-50","11.937","48.312","46.5","42.437","19.625",
"2017-11-08-01-50-36","11.875","48.25","46.5","42.5","19.562",
"2017-11-08-01-52-28","11.937","48.125","46.437","42.562","19.562",
"2017-11-08-01-54-17","11.937","48.125","46.437","42.625","19.5",
"2017-11-08-01-56-04","11.875","48.062","46.437","42.625","19.5",
"2017-11-08-01-57-56","11.875","48.0","46.375","42.687","19.437",
"2017-11-08-01-59-49","11.875","47.937","46.375","42.75","19.375",
"2017-11-08-02-01-39","11.812","47.937","46.312","42.812","19.375",
"2017-11-08-02-03-27","11.75","47.875","46.25","42.875","19.312",
"2017-11-08-02-05-17","11.75","47.875","46.25","42.937","19.312",
"2017-11-08-02-07-07","11.75","47.937","46.25","42.937","19.25",
"2017-11-08-02-08-57","11.75","47.937","46.187","43.0","19.25",
"2017-11-08-02-10-47","11.75","47.937","46.187","43.062","19.187",
"2017-11-08-02-12-34","11.75","47.937","46.125","43.125","19.187",
"2017-11-08-02-14-25","11.75","47.937","46.125","43.125","19.125",
"2017-11-08-02-16-14","11.75","47.937","46.125","43.187","19.125",
"2017-11-08-02-18-07","11.75","47.937","46.062","43.25","19.062",
"2017-11-08-02-19-56","11.687","47.875","46.0","43.312","19.062",
"2017-11-08-02-21-51","11.75","47.875","46.0","43.375","19.0",
"2017-11-08-02-23-37","11.687","47.875","45.937","43.375","19.0",
"2017-11-08-02-25-35","11.687","47.812","45.937","43.437","19.0",
"2017-11-08-02-27-28","11.625","47.812","45.937","43.5","18.937",
"2017-11-08-02-29-18","11.687","47.75","45.937","43.5","18.937",
"2017-11-08-02-31-05","11.625","47.75","45.937","43.562","18.875",
"2017-11-08-02-32-56","11.625","47.687","45.875","43.625","18.812",
